_name_,agent_hostname,cl_name,cl_role,collector_id,env,group_id,hostname,instance,job,mongodb_version,org_id,process_port,process_type,replica_state_name,rs_nm,rs_state,Value
mongodb_info,m0dccapmuaz003,Cluster_0,configsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,28000,config,primary,csrs_d0capmu,1,1
mongodb_info,m0dccapmuaz003,Cluster_0,configsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,28000,config,secondary,csrs_d0capmu,2,1
mongodb_info,m0dccapmuaz003,Cluster_0,mongos,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,26000,mongos,none,none,,1
mongodb_info,m0dccapmuaz003,Cluster_0,shardsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,sh1_dcapmu,1,1
mongodb_info,m0dccapmuaz003,Cluster_0,shardsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,secondary,sh1_dcapmu,2,1
mongodb_info,m0dccapmuaz003,Cluster_0,shardsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,sh2_dcapmu,1,1
mongodb_info,m0dccapmuaz003,Cluster_0,shardsvr,m0dccapmuaz003,uat_ngdc,68b260e1047ab60cbb65dba7,m0dccapmuaz003,m0dccapmuaz003,CAPMU_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,secondary,sh2_dcapmu,2,1
mongodb_info,m0dcepepyaz003,Cluster_0,configsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,28000,config,primary,csrs_d0epepy,1,1
mongodb_info,m0dcepepyaz003,Cluster_0,configsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,28000,config,secondary,csrs_d0epepy,2,1
mongodb_info,m0dcepepyaz003,Cluster_0,mongos,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,26000,mongos,none,none,,1
mongodb_info,m0dcepepyaz003,Cluster_0,shardsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,sh1_d0epepy,1,1
mongodb_info,m0dcepepyaz003,Cluster_0,shardsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,secondary,sh1_d0epepy,2,1
mongodb_info,m0dcepepyaz003,Cluster_0,shardsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,sh2_d0epepy,1,1
mongodb_info,m0dcepepyaz003,Cluster_0,shardsvr,m0dcepepyaz003,uat_ngdc,6889b88db12819367a737df2,m0dcepepyaz003,m0dcepepyaz003,EPE_PAYMENT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,secondary,sh2_d0epepy,2,1
mongodb_info,m0d00pntaz003,rs_d00pnt,shardsvr,m0d00pntaz003,uat_ngdc,6855b957d5416114a4baba8,m0d00pntaz003,m0d00pntaz003,PNT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,rs_d00pnt,1,1
mongodb_info,m0d00pntaz003,rs_d00pnt,shardsvr,m0d00pntaz003,uat_ngdc,6855b957d5416114a4baba8,m0d00pntaz003,m0d00pntaz003,PNT_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,secondary,rs_d00pnt,2,1
mongodb_info,m0dr01basaz003,rs_s01bas,shardsvr,m0dr01basaz003,uat_legacy,63d19801138ba11c54ef102b,m0dr01basaz003,m0dr01basaz003,1BAS_SIT-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,primary,rs_s01bas,1,1
mongodb_info,m0dr01basaz003,rs_s01bas,shardsvr,m0dr01basaz003,uat_legacy,63d19801138ba11c54ef102b,m0dr01basaz003,m0dr01basaz003,1BAS_SIT-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,secondary,rs_s01bas,2,1
mongodb_info,m0dr02ameaz003,rs_d02ame,shardsvr,m0dr02ameaz003,uat_legacy,63d12a88138ba11c54dfc6b7,m0dr02ameaz003,m0dr02ameaz003,2AME_DEV-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,primary,rs_d02ame,1,1
mongodb_info,m0dr02ameaz003,rs_d02ame,shardsvr,m0dr02ameaz003,uat_legacy,63d12a88138ba11c54dfc6b7,m0dr02ameaz003,m0dr02ameaz003,2AME_DEV-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,secondary,rs_d02ame,2,1
mongodb_info,m0dr09trdaz003,rs_d009trd,shardsvr,m0dr09trdaz003,uat_legacy,63e1ecb1651526cc0a2cc51,m0dr09trdaz003,m0dr09trdaz003,09TRD_DEV-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,primary,rs_d009trd,1,1
mongodb_info,m0dr09trdaz003,rs_d009trd,shardsvr,m0dr09trdaz003,uat_legacy,63e1ecb1651526cc0a2cc51,m0dr09trdaz003,m0dr09trdaz003,09TRD_DEV-mongo-metrics,8.0.19,61773d84065bfc2426f0f9fe,29000,mongod,secondary,rs_d009trd,2,1
mongodb_info,m0dr0cibxaz003,rs_d0cibx,shardsvr,m0dr0cibxaz003,uat_ngdc,68af193b72534c2bbdd9d526,m0dr0cibxaz003,m0dr0cibxaz003,CIBX_DEV-mongo-metrics,8.0.19,679c18e93b3f86559e30edd7,29000,mongod,primary,rs_d0cibx,1,1
