_name_,agent_hostname,description,env,exported_qmgr,hostname,instance,job,mq_namespace,platform,qmgr,cluster,Value
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,EL4UR1V,mq4uatga1020,mq4uatga1020:9163,ibm-mq,ibmmq_uat,UNIX,EL4UR1V,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,EL4UR1X,mq4uatma1017,mq4uatma1017:9162,ibm-mq,ibmmq_uat,UNIX,EL4UR1X,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,EL4US4L,mq4uatga1020,mq4uatga1020:9164,ibm-mq,ibmmq_uat,UNIX,EL4US4L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,EL4UX3L,mq4uatma1018,mq4uatma1018:9164,ibm-mq,ibmmq_uat,UNIX,EL4UX3L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UFR1,mq4uatga1020,mq4uatga1020:9162,ibm-mq,ibmmq_uat,UNIX,OL4UFR1,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UG02,mq4uatma1018,mq4uatma1018:9168,ibm-mq,ibmmq_uat,UNIX,OL4UG02,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UG06,mq4uatma1018,mq4uatma1018:9168,ibm-mq,ibmmq_uat,UNIX,OL4UG06,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UG09,mq4uatma1018,mq4uatma1018:9159,ibm-mq,ibmmq_uat,UNIX,OL4UG09,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UG30,mq4uatma1018,mq4uatma1018:9165,ibm-mq,ibmmq_uat,UNIX,OL4UG30,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UMGV,mq4uatma1018,mq4uatma1018:9160,ibm-mq,ibmmq_uat,UNIX,OL4UMGV,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UR1V,mq4uatma1017,mq4uatma1017:9165,ibm-mq,ibmmq_uat,UNIX,OL4UR1V,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UR4L,mq4uatma1017,mq4uatma1017:9159,ibm-mq,ibmmq_uat,UNIX,OL4UR4L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4US3L,mq4uatma1017,mq4uatma1017:9160,ibm-mq,ibmmq_uat,UNIX,OL4US3L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4US4L,mq4uatga1020,mq4uatga1020:9161,ibm-mq,ibmmq_uat,UNIX,OL4US4L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4U5WF,mq4uatma1017,mq4uatma1017:9161,ibm-mq,ibmmq_uat,UNIX,OL4U5WF,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UX1W,mq4uatma1017,mq4uatma1017:9163,ibm-mq,ibmmq_uat,UNIX,OL4UX1W,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,OL4UX3L,mq4uatga1020,mq4uatga1020:9167,ibm-mq,ibmmq_uat,UNIX,OL4UX3L,,2
ibmmq_qmgr_command_server_status,gflcl0d5ea80612,-,UAT,TL4UWSLS,mq4uatma1017,mq4uatma1017:9158,ibm-mq,ibmmq_uat,UNIX,TL4UWSLS,,2
