__name__,agent_hostname,collector_id,env,instance,job,role_name,target_name,Value
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6170052_DANUXL6170DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6170058_DANUXL6170DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230010_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230048_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230081_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230086_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230104_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230111_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6230117_DANUXL6230DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6280007_DANUXL6280DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6280035_DANUXL6280DB01,2
oem_db_role,dmoor380c4a8086,dmoor380c4a8086,uat,dmoor380c4a8086:8586,oracle_oem_nonprod5,PHYSICAL STANDBY,U6280054_DANUXL6280DB01,2
